Season,Crop,Farms,Avg_Yield_t_ha,Avg_Profit_INR,Total_Profit_INR,Avg_Water_Efficiency,Avg_Risk_pct
Kharif,Chilli,185,1.7314594594594594,954380.4216216216,176560378,3.2595135135135136,52.80756756756757
Kharif,Sugarcane,125,53.459120000000006,1000790.808,125098851,36.003912,54.016
Rabi,Chilli,163,1.4650306748466257,638572.4969325153,104087317,2.8859877300613497,40.58895705521472
Rabi,Sugarcane,129,43.28612403100775,731612.8604651163,94378059,27.924581395348838,39.84573643410853
Kharif,Cotton,215,1.3745116279069767,216999.5488372093,46654903,2.1305209302325583,54.24232558139535
Zaid,Sugarcane,51,38.42392156862745,583635.8039215687,29765426,23.39078431372549,38.35490196078431
Zaid,Chilli,64,1.1953125,448659.09375,28714182,2.20359375,40.503125
Rabi,Cotton,201,1.1983582089552238,107343.58706467661,21576061,1.9376567164179104,41.539800995024876
Kharif,Groundnut,193,1.4849740932642488,108265.44041450777,20895230,3.5840777202072536,54.278238341968915
Kharif,Pulses,221,1.0360633484162896,43338.89592760181,9577896,3.3524479638009046,54.96018099547511
Rabi,Groundnut,177,1.2331638418079096,10416.542372881357,1843728,2.897073446327684,39.76271186440678
Rabi,Pulses,213,0.875962441314554,-14309.136150234743,-3047846,2.698840375586854,40.07840375586855
Zaid,Groundnut,54,1.0377777777777777,-68872.5,-3719115,2.465259259259259,39.12777777777778
Zaid,Cotton,92,0.9602173913043479,-53925.336956521736,-4961131,1.4889239130434782,36.34239130434783
Zaid,Pulses,62,0.6696774193548386,-139227.8064516129,-8632124,1.9503548387096774,38.96612903225807
Kharif,Maize,234,2.9664102564102564,-39332.67094017094,-9203845,6.054615384615384,54.81794871794872
Zaid,Maize,84,2.290952380952381,-194049.16666666666,-16300130,4.745940476190476,36.68214285714286
Zaid,Wheat,85,1.7485882352941176,-193208.95294117648,-16422761,4.017,39.156470588235294
Kharif,Rice,314,2.6983757961783437,-64903.40445859873,-20379669,2.1692547770700634,54.254777070063696
Rabi,Maize,233,2.6036480686695276,-89133.4034334764,-20768083,5.4584163090128754,39.414592274678114
Zaid,Rice,102,1.9004901960784313,-227239.3431372549,-23178413,1.5330686274509804,37.94607843137255
Rabi,Rice,274,2.3228467153284673,-98427.8686131387,-26969236,1.844153284671533,40.78686131386861
Rabi,Wheat,237,2.05746835443038,-119954.56540084389,-28429232,4.687430379746836,41.45527426160337
Kharif,Wheat,292,2.253664383561644,-105871.8698630137,-30914586,4.758448630136987,55.58082191780822
