Season,Crop,Farms,Avg_Profit_INR,Avg_Water_Efficiency,Avg_Risk_pct,Seasonal_Opportunity_Score
Rabi,Sugarcane,129,731612.8604651163,27.924581395348838,39.84573643410853,86.25
Zaid,Sugarcane,51,583635.8039215687,23.39078431372549,38.35490196078431,85.83333333333334
Kharif,Sugarcane,125,1000790.808,36.003912,54.016,85.00000000000001
Kharif,Chilli,185,954380.4216216216,3.2595135135135136,52.80756756756757,70.0
Rabi,Chilli,163,638572.4969325153,2.8859877300613497,40.58895705521472,66.66666666666666
Zaid,Chilli,64,448659.09375,2.20359375,40.503125,59.583333333333336
Kharif,Groundnut,193,108265.44041450777,3.5840777202072536,54.278238341968915,56.66666666666668
Rabi,Groundnut,177,10416.542372881357,2.897073446327684,39.76271186440678,56.666666666666664
Rabi,Maize,233,-89133.4034334764,5.4584163090128754,39.414592274678114,55.00000000000001
Kharif,Maize,234,-39332.67094017094,6.054615384615384,54.81794871794872,52.916666666666664
Rabi,Pulses,213,-14309.136150234743,2.698840375586854,40.07840375586855,50.416666666666664
Kharif,Pulses,221,43338.89592760181,3.3524479638009046,54.96018099547511,49.583333333333336
Kharif,Cotton,215,216999.5488372093,2.1305209302325583,54.24232558139535,49.16666666666667
Zaid,Maize,84,-194049.16666666666,4.745940476190476,36.68214285714286,45.0
Zaid,Groundnut,54,-68872.5,2.465259259259259,39.12777777777778,45.0
Rabi,Cotton,201,107343.58706467661,1.9376567164179104,41.539800995024876,44.99999999999999
Zaid,Cotton,92,-53925.336956521736,1.4889239130434782,36.34239130434783,43.333333333333336
Zaid,Wheat,85,-193208.95294117648,4.017,39.156470588235294,40.416666666666664
Rabi,Wheat,237,-119954.56540084389,4.687430379746836,41.45527426160337,39.166666666666664
Kharif,Wheat,292,-105871.8698630137,4.758448630136987,55.58082191780822,36.25
Kharif,Rice,314,-64903.40445859873,2.1692547770700634,54.254777070063696,32.916666666666664
Zaid,Pulses,62,-139227.8064516129,1.9503548387096774,38.96612903225807,30.416666666666664
Rabi,Rice,274,-98427.8686131387,1.844153284671533,40.78686131386861,26.666666666666668
Zaid,Rice,102,-227239.3431372549,1.5330686274509804,37.94607843137255,22.083333333333336
